frame60,ms,contour,lensOpacity,reducedLogoOpacity
0,0.0,0,0.0,1
1,16.6667,0.026882,0.0,1
2,33.3333,0.053763,0.0,1
3,50.0,0.080645,0.0,1
4,66.6667,0.107527,0.0,1
5,83.3333,0.134409,0.0,1
6,100.0,0.16129,0.0,1
7,116.6667,0.188172,0.0,1
8,133.3333,0.215054,0.0,1
9,150.0,0.241935,0.0,1
10,166.6667,0.268817,0.0,1
11,183.3333,0.295699,0.0,1
12,200.0,0.322581,0.0,1
13,216.6667,0.349462,0.0,1
14,233.3333,0.376344,0.0,1
15,250.0,0.403226,0.0,1
16,266.6667,0.430108,0.0,1
17,283.3333,0.456989,0.0,1
18,300.0,0.483871,0.0,1
19,316.6667,0.510753,0.0,1
20,333.3333,0.537634,0.0,1
21,350.0,0.564516,0.0,1
22,366.6667,0.591398,0.0,1
23,383.3333,0.61828,0.0,1
24,400.0,0.645161,0.0,1
25,416.6667,0.672043,0.0,1
26,433.3333,0.698925,0.0,1
27,450.0,0.725806,0.0,1
28,466.6667,0.752688,0.0,1
29,483.3333,0.77957,0.0,1
30,500.0,0.806452,0.0,1
31,516.6667,0.833333,0.0,1
32,533.3333,0.860215,0.0,1
33,550.0,0.887097,0.0,1
34,566.6667,0.913978,0.0,1
35,583.3333,0.94086,0.0,1
36,600.0,0.967742,0.0,1
37,616.6667,0.994624,0.0,1
38,633.3333,1,0.087619,1
39,650.0,1,0.197143,1
40,666.6667,1,0.306667,1
41,683.3333,1,0.41619,1
42,700.0,1,0.525714,1
43,716.6667,1,0.635238,1
44,733.3333,1,0.744762,1
45,750.0,1,0.854286,1
46,766.6667,1,0.92,1
47,783.3333,1,0.92,1
48,800.0,1,0.92,1
49,816.6667,1,0.92,1
50,833.3333,1,0.92,1
51,850.0,1,0.92,1
52,866.6667,1,0.92,1
53,883.3333,1,0.92,1
54,900.0,1,0.92,1
55,916.6667,1,0.92,1
56,933.3333,1,0.92,1
57,950.0,1,0.92,1
58,966.6667,1,0.92,1
59,983.3333,1,0.92,1
60,1000.0,1,0.92,1
61,1016.6667,1,0.92,1
62,1033.3333,1,0.92,1
63,1050.0,1,0.92,1
64,1066.6667,1,0.92,1
65,1083.3333,1,0.92,1
66,1100.0,1,0.92,1
67,1116.6667,1,0.92,1
68,1133.3333,1,0.92,1
69,1150.0,1,0.92,1
70,1166.6667,1,0.92,1
71,1183.3333,1,0.92,1
72,1200.0,1,0.92,1
73,1216.6667,1,0.92,1
74,1233.3333,1,0.92,1
75,1250.0,1,0.92,1
76,1266.6667,1,0.92,1
77,1283.3333,1,0.92,1
78,1300.0,1,0.92,1
79,1316.6667,1,0.92,1
80,1333.3333,1,0.92,1
81,1350.0,1,0.92,1
82,1366.6667,1,0.92,1
83,1383.3333,1,0.92,1
84,1400,1,0.92,1
