frame60,ms,ring1InsetFraction,ring1Opacity,ring2InsetFraction,ring2Opacity,boundaryOpacity,reducedBoundaryOpacity
0,0.0,0,0.12,0,0,0,0.0
1,16.6667,0.002408,0.117917,0,0,0,0.006667
2,33.3333,0.008547,0.115833,0,0,0,0.013333
3,50.0,0.017039,0.11375,0,0,0,0.02
4,66.6667,0.026805,0.111667,0,0,0,0.026667
5,83.3333,0.037023,0.109583,0,0,0,0.033333
6,100.0,0.047097,0.1075,0,0,0,0.04
7,116.6667,0.05661,0.105417,0,0,0,0.046667
8,133.3333,0.065294,0.103333,0,0,0,0.053333
9,150.0,0.072999,0.10125,0,0,0,0.06
10,166.6667,0.079663,0.099167,0,0,0,0.06
11,183.3333,0.085288,0.097083,0,0,0,0.06
12,200.0,0.089925,0.095,0,0,0,0.06
13,216.6667,0.093655,0.092917,0,0,0,0.06
14,233.3333,0.096574,0.090833,0,0,0,0.06
15,250.0,0.098789,0.08875,0.000909,0.11875,0,0.06
16,266.6667,0.1,0.086667,0.005739,0.116667,0,0.06
17,283.3333,0.1,0.084583,0.013435,0.114583,0,0.06
18,300.0,0.1,0.0825,0.022803,0.1125,0,0.06
19,316.6667,0.1,0.080417,0.032924,0.110417,0,0.06
20,333.3333,0.1,0.078333,0.043115,0.108333,0,0.06
21,350.0,0.1,0.07625,0.052892,0.10625,0,0.06
22,366.6667,0.1,0.074167,0.061932,0.104167,0,0.06
23,383.3333,0.1,0.072083,0.07004,0.102083,0,0.06
24,400.0,0.1,0.07,0.077123,0.1,0,0.06
25,416.6667,0.1,0.067917,0.08316,0.097917,0,0.06
26,433.3333,0.1,0.065833,0.088184,0.095833,0,0.06
27,450.0,0.1,0.06375,0.092266,0.09375,0,0.06
28,466.6667,0.1,0.061667,0.095497,0.091667,0,0.06
29,483.3333,0.1,0.059583,0.097981,0.089583,0,0.06
30,500.0,0.1,0.0575,0.099825,0.0875,0,0.06
31,516.6667,0.1,0.055417,0.1,0.085417,0,0.06
32,533.3333,0.1,0.053333,0.1,0.083333,0,0.06
33,550.0,0.1,0.05125,0.1,0.08125,0,0.06
34,566.6667,0.1,0.049167,0.1,0.079167,0,0.06
35,583.3333,0.1,0.047083,0.1,0.077083,0,0.06
36,600.0,0.1,0.045,0.1,0.075,0,0.06
37,616.6667,0.099968,0.042917,0.1,0.072917,0,0.06
38,633.3333,0.099943,0.040833,0.1,0.070833,0,0.06
39,650.0,0.099928,0.03875,0.1,0.06875,0,0.06
40,666.6667,0.099921,0.036667,0.1,0.066667,0,0.06
41,683.3333,0.09992,0.034583,0.1,0.064583,0,0.06
42,700.0,0.099922,0.0325,0.1,0.0625,0,0.06
43,716.6667,0.099927,0.030417,0.1,0.060417,0,0.06
44,733.3333,0.099935,0.028333,0.1,0.058333,0,0.06
45,750.0,0.099943,0.02625,0.1,0.05625,0,0.06
46,766.6667,0.099951,0.024167,0.1,0.054167,0,0.06
47,783.3333,0.099959,0.022083,0.1,0.052083,0,0.06
48,800.0,0.099966,0.02,0.1,0.05,0,0.06
49,816.6667,0.099973,0.017917,0.1,0.047917,0,0.06
50,833.3333,0.099979,0.015833,0.1,0.045833,0,0.06
51,850.0,0.099985,0.01375,0.099981,0.04375,0,0.06
52,866.6667,0.099989,0.011667,0.099952,0.041667,0,0.06
53,883.3333,0.099992,0.009583,0.099933,0.039583,0,0.06
54,900.0,0.099995,0.0075,0.099923,0.0375,0,0.06
55,916.6667,0.099998,0.005417,0.09992,0.035417,0,0.06
56,933.3333,0.099999,0.003333,0.099921,0.033333,0,0.06
57,950.0,0.1,0.00125,0.099925,0.03125,0,0.06
58,966.6667,0.1,0,0.099932,0.029167,0,0.06
59,983.3333,0.1,0,0.099939,0.027083,0,0.06
60,1000.0,0.1,0,0.099947,0.025,0,0.06
61,1016.6667,0.1,0,0.099956,0.022917,0,0.06
62,1033.3333,0.1,0,0.099963,0.020833,0,0.06
63,1050.0,0.1,0,0.099971,0.01875,0,0.06
64,1066.6667,0.1,0,0.099977,0.016667,0,0.06
65,1083.3333,0.1,0,0.099983,0.014583,0,0.06
66,1100.0,0.1,0,0.099987,0.0125,0,0.06
67,1116.6667,0.1,0,0.099991,0.010417,0,0.06
68,1133.3333,0.1,0,0.099994,0.008333,0,0.06
69,1150.0,0.1,0,0.099997,0.00625,0,0.06
70,1166.6667,0.1,0,0.099999,0.004167,0,0.06
71,1183.3333,0.1,0,0.1,0.002083,0,0.06
72,1200.0,0.1,0,0.1,0,0.04,0.06
73,1216.6667,0.1,0,0.1,0,0.040007,0.06
74,1233.3333,0.1,0,0.1,0,0.040027,0.06
75,1250.0,0.1,0,0.1,0,0.040062,0.06
76,1266.6667,0.1,0,0.1,0,0.04011,0.06
77,1283.3333,0.1,0,0.1,0,0.040171,0.06
78,1300.0,0.1,0,0.1,0,0.040246,0.06
79,1316.6667,0.1,0,0.1,0,0.040335,0.06
80,1333.3333,0.1,0,0.1,0,0.040437,0.06
81,1350.0,0.1,0,0.1,0,0.040553,0.06
82,1366.6667,0.1,0,0.1,0,0.040681,0.06
83,1383.3333,0.1,0,0.1,0,0.040824,0.06
84,1400.0,0.1,0,0.1,0,0.040979,0.06
85,1416.6667,0.1,0,0.1,0,0.041147,0.06
86,1433.3333,0.1,0,0.1,0,0.041328,0.06
