frame60,ms,item0Y,item1Y,item2Y,item3Y,item4Y,item5Y,item0Alpha,item1Alpha,item2Alpha,item3Alpha,item4Alpha,item5Alpha,reducedAlpha
0,0.0,8.0,8,8,8,8,8,0,0,0,0,0,0,0
1,16.6667,7.700561,8,8,8,8,8,0.111111,0,0,0,0,0,0.111111
2,33.3333,6.99675,8,8,8,8,8,0.222222,0,0,0,0,0,0.222222
3,50.0,6.105307,7.884228,8,8,8,8,0.333333,0.066667,0,0,0,0,0.333333
4,66.6667,5.16561,7.310912,8,8,8,8,0.444444,0.177778,0,0,0,0,0.444444
5,83.3333,4.262314,6.47404,7.986182,8,8,8,0.555556,0.288889,0.022222,0,0,0,0.555556
6,100.0,3.442322,5.540857,7.583883,8,8,8,0.666667,0.4,0.133333,0,0,0,0.666667
7,116.6667,2.727281,4.615581,6.82806,8,8,8,0.777778,0.511111,0.244444,0,0,0,0.777778
8,133.3333,2.122615,3.75849,5.917854,7.801403,8,8,0.888889,0.622222,0.355556,0.088889,0,0,0.888889
9,150.0,1.623906,3.000077,4.980086,7.158179,8,8,1,0.733333,0.466667,0.2,0,0,1
10,166.6667,1.221296,2.351358,4.090661,6.291003,7.946672,8,1,0.844444,0.577778,0.311111,0.044444,0,1
11,183.3333,0.902429,1.811224,3.290557,5.35271,7.453381,8,1,0.955556,0.688889,0.422222,0.155556,0,1
12,200.0,0.654341,1.371569,2.59755,4.437379,6.653424,8.0,1,1,0.8,0.533333,0.266667,0,1
13,216.6667,0.464604,1.020759,2.014656,3.598335,5.729458,7.700561,1,1,0.911111,0.644444,0.377778,0.111111,1
14,233.3333,0.321955,0.745899,1.53607,2.861457,4.796604,6.99675,1,1,1,0.755556,0.488889,0.222222,1
15,250.0,0.216587,0.534248,1.151238,2.234829,3.922654,6.105307,1,1,1,0.866667,0.6,0.333333,1
16,266.6667,0.140215,0.374026,0.84756,1.715594,3.143123,5.16561,1,1,1,0.977778,0.711111,0.444444,1
17,283.3333,0.086012,0.254824,0.612105,1.294705,2.472252,4.262314,1,1,1,1,0.822222,0.555556,1
18,300.0,0.04847,0.167752,0.432643,0.960128,1.910884,3.442322,1,1,1,1,0.933333,0.666667,1
19,316.6667,0.023231,0.105413,0.298186,0.698907,1.451991,2.727281,1,1,1,1,1,0.777778,1
20,333.3333,0.006906,0.06179,0.199231,0.498444,1.084428,2.122615,1,1,1,1,1,0.888889,1
