frame60,ms,rectProgress,reducedDestinationAlpha
0,0.0,0,0
1,16.6667,0.03743,0.111111
2,33.3333,0.125406,0.222222
3,50.0,0.236837,0.333333
4,66.6667,0.354299,0.444444
5,83.3333,0.467211,0.555556
6,100.0,0.56971,0.666667
7,116.6667,0.65909,0.777778
8,133.3333,0.734673,0.888889
9,150.0,0.797012,1
10,166.6667,0.847338,1
11,183.3333,0.887196,1
12,200.0,0.918207,1
13,216.6667,0.941925,1
14,233.3333,0.959756,1
15,250.0,0.972927,1
16,266.6667,0.982473,1
17,283.3333,0.989249,1
18,300.0,0.993941,1
19,316.6667,0.997096,1
20,333.3333,0.999137,1
21,350.0,1,1
22,366.6667,1,1
23,383.3333,1,1
24,400.0,1,1
25,416.6667,1,1
26,433.3333,1,1
27,450.0,1,1
28,466.6667,1,1
29,483.3333,1,1
30,500.0,1,1
31,516.6667,1,1
32,533.3333,1,1
33,550.0,1,1
34,566.6667,1,1
35,583.3333,1,1
36,600.0,1,1
37,616.6667,1,1
38,633.3333,1,1
39,650.0,1,1
40,666.6667,1,1
41,683.3333,1,1
42,700.0,1,1
43,716.6667,1,1
44,733.3333,1,1
45,750.0,1.0,1
46,766.6667,0.999998,1
47,783.3333,0.999998,1
48,800.0,0.999998,1
49,816.6667,0.999998,1
50,833.3333,0.999998,1
51,850.0,0.999998,1
52,866.6667,0.999998,1
53,883.3333,0.999999,1
54,900.0,0.999999,1
55,916.6667,0.999999,1
56,933.3333,0.999999,1
57,950.0,1.0,1
58,966.6667,1.0,1
59,983.3333,1.0,1
60,1000.0,1,1
61,1016.6667,0.96257,0.888889
62,1033.3333,0.874594,0.777778
63,1050.0,0.763163,0.666667
64,1066.6667,0.645701,0.555556
65,1083.3333,0.532789,0.444444
66,1100.0,0.43029,0.333333
67,1116.6667,0.34091,0.222222
68,1133.3333,0.265327,0.111111
69,1150.0,0.202988,0
70,1166.6667,0.152662,0
71,1183.3333,0.112804,0
72,1200.0,0.081793,0
73,1216.6667,0.058075,0
74,1233.3333,0.040244,0
75,1250.0,0.027073,0
76,1266.6667,0.017527,0
77,1283.3333,0.010751,0
78,1300.0,0.006059,0
79,1316.6667,0.002904,0
80,1333.3333,0.000863,0
81,1350.0,0,0
82,1366.6667,0,0
83,1383.3333,0,0
84,1400.0,0,0
85,1416.6667,0,0
86,1433.3333,0,0
87,1450.0,0,0
88,1466.6667,0,0
89,1483.3333,0,0
90,1500.0,0,0
91,1516.6667,0,0
92,1533.3333,0,0
93,1550.0,0,0
94,1566.6667,0,0
95,1583.3333,0,0
96,1600.0,0,0
97,1616.6667,0,0
98,1633.3333,0,0
99,1650.0,0,0
100,1666.6667,0,0
101,1683.3333,0,0
102,1700.0,0,0
103,1716.6667,0,0
104,1733.3333,0,0
105,1750.0,0.0,0
106,1766.6667,2e-06,0
107,1783.3333,2e-06,0
108,1800,2e-06,0
