frame60,ms,pressScale,pending,successReveal,reducedSuccessAlpha
0,0.0,1.0,1,0,0
1,16.6667,0.993914,1,0,0
2,33.3333,0.988984,1,0,0
3,50.0,0.985558,1,0,0
4,66.6667,0.983307,1,0,0
5,83.3333,0.981849,1,0,0
6,100.0,0.980924,1,0,0
7,116.6667,0.980369,1,0,0
8,133.3333,0.980084,1,0,0
9,150.0,0.98,1,0,0
10,166.6667,0.986086,1,0,0
11,183.3333,0.991016,1,0,0
12,200.0,0.994442,1,0,0
13,216.6667,0.996693,1,0,0
14,233.3333,0.998151,1,0,0
15,250.0,0.999076,1,0,0
16,266.6667,0.999631,1,0,0
17,283.3333,0.999916,1,0,0
18,300.0,1.0,1,0,0
19,316.6667,1.0,1,0,0
20,333.3333,1.0,1,0,0
21,350.0,1.0,1,0,0
22,366.6667,1.0,1,0,0
23,383.3333,1.0,1,0,0
24,400.0,1.0,1,0,0
25,416.6667,1.0,1,0,0
26,433.3333,1.0,1,0,0
27,450.0,1.0,1,0,0
28,466.6667,1.0,1,0,0
29,483.3333,1.0,1,0,0
30,500.0,1.0,1,0,0
31,516.6667,1.0,1,0,0
32,533.3333,1.0,1,0,0
33,550.0,1.0,1,0,0
34,566.6667,1.0,1,0,0
35,583.3333,1.0,1,0,0
36,600.0,1.0,1,0,0
37,616.6667,1.0,1,0,0
38,633.3333,1.0,1,0,0
39,650.0,1.0,1,0,0
40,666.6667,1.0,1,0,0
41,683.3333,1.0,1,0,0
42,700.0,1.0,1,0,0
43,716.6667,1.0,1,0,0
44,733.3333,1.0,1,0,0
45,750.0,1.0,1,0,0
46,766.6667,1.0,1,0,0
47,783.3333,1.0,1,0,0
48,800.0,1.0,0,0,0
49,816.6667,1.0,0,0.033333,0.111111
50,833.3333,1.0,0,0.066667,0.222222
51,850.0,1.0,0,0.1,0.333333
52,866.6667,1.0,0,0.133333,0.444444
53,883.3333,1.0,0,0.166667,0.555556
54,900.0,1.0,0,0.2,0.666667
55,916.6667,1.0,0,0.233333,0.777778
56,933.3333,1.0,0,0.266667,0.888889
57,950.0,1.0,0,0.3,1
58,966.6667,1.0,0,0.333333,1
59,983.3333,1.0,0,0.366667,1
60,1000.0,1.0,0,0.4,1
61,1016.6667,1.0,0,0.433333,1
62,1033.3333,1.0,0,0.466667,1
63,1050.0,1.0,0,0.5,1
64,1066.6667,1.0,0,0.533333,1
65,1083.3333,1.0,0,0.566667,1
66,1100.0,1.0,0,0.6,1
67,1116.6667,1.0,0,0.633333,1
68,1133.3333,1.0,0,0.666667,1
69,1150.0,1.0,0,0.7,1
70,1166.6667,1.0,0,0.733333,1
71,1183.3333,1.0,0,0.766667,1
72,1200.0,1.0,0,0.8,1
73,1216.6667,1.0,0,0.833333,1
74,1233.3333,1.0,0,0.866667,1
75,1250.0,1.0,0,0.9,1
76,1266.6667,1.0,0,0.933333,1
77,1283.3333,1.0,0,0.966667,1
78,1300.0,1.0,0,1,1
79,1316.6667,1.0,0,1,1
80,1333.3333,1.0,0,1,1
81,1350.0,1.0,0,1,1
82,1366.6667,1.0,0,1,1
83,1383.3333,1.0,0,1,1
84,1400.0,1.0,0,1,1
85,1416.6667,1.0,0,1,1
86,1433.3333,1.0,0,1,1
87,1450.0,1.0,0,1,1
88,1466.6667,1.0,0,1,1
89,1483.3333,1.0,0,1,1
90,1500.0,1.0,0,1,1
91,1516.6667,1.0,0,1,1
92,1533.3333,1.0,0,1,1
93,1550.0,1.0,0,1,1
94,1566.6667,1.0,0,1,1
95,1583.3333,1.0,0,1,1
96,1600.0,1.0,0,1,1
97,1616.6667,1.0,0,1,1
98,1633.3333,1.0,0,1,1
99,1650.0,1.0,0,1,1
100,1666.6667,1.0,0,1,1
101,1683.3333,1.0,0,1,1
102,1700,1.0,0,1,1
