frame60,ms,peerTranslateY,ringRadius,ringAlpha,ctaAlpha,reducedContentAlpha
0,0.0,8.0,42.000003,0,0,0
1,16.6667,7.807384,42.000003,0,0,0.111111
2,33.3333,7.316231,42.000003,0,0,0.222222
3,50.0,6.636858,42.000003,0,0,0.333333
4,66.6667,5.855639,42.000003,0,0,0.444444
5,83.3333,5.038137,42.000003,0,0,0.555556
6,100.0,4.232243,42.000003,0,0,0.666667
7,116.6667,3.471211,42.000003,0,0,0.777778
8,133.3333,2.776455,42.000003,0,0,0.888889
9,150.0,2.160062,42.000003,0,0,1
10,166.6667,1.626994,42.000003,0,0,1
11,183.3333,1.176956,42.000003,0,0,1
12,200.0,0.805963,42.000003,0,0,1
13,216.6667,0.507608,42.000003,0,0,1
14,233.3333,0.274064,42.000003,0,0,1
15,250.0,0.096863,42.000003,0,0,1
16,266.6667,0.0,42.000003,0,0,1
17,283.3333,0.0,42.000003,0,0,1
18,300.0,0.0,42.000003,0.12,0,1
19,316.6667,0.0,46.180535,0.117143,0,1
20,333.3333,0.0,50.320579,0.114286,0,1
21,350.0,0.0,54.380864,0.111429,0,1
22,366.6667,0.0,58.321958,0.108571,0,1
23,383.3333,0.0,62.107631,0.105714,0,1
24,400.0,0.0,65.707844,0.102857,0,1
25,416.6667,0.0,69.100523,0.1,0,1
26,433.3333,0.0,72.272328,0.097143,0,1
27,450.0,0.0,75.21818,0.094286,0,1
28,466.6667,0.0,77.939833,0.091429,0,1
29,483.3333,0.0,80.444254,0.088571,0,1
30,500.0,0.0,82.741983,0.085714,0,1
31,516.6667,0.0,84.845625,0.082857,0,1
32,533.3333,0.0,86.768754,0.08,0,1
33,550.0,0.0,88.525153,0.077143,0,1
34,566.6667,0.0,90.128197,0.074286,0,1
35,583.3333,0.0,91.590572,0.071429,0,1
36,600.0,0.0,92.924123,0.068571,0,1
37,616.6667,0.002548,94.139718,0.065714,0,1
38,633.3333,0.004535,95.24728,0.062857,0,1
39,650.0,0.00573,96.255835,0.06,0,1
40,666.6667,0.006312,97.173529,0.057143,0,1
41,683.3333,0.006436,98.007714,0.054286,0,1
42,700.0,0.00623,98.765038,0.051429,0,1
43,716.6667,0.005801,99.451481,0.048571,0,1
44,733.3333,0.005235,100.072442,0.045714,0,1
45,750.0,0.004597,100.632804,0.042857,0,1
46,766.6667,0.003938,101.136976,0.04,0,1
47,783.3333,0.003294,101.588947,0.037143,0,1
48,800.0,0.00269,101.992348,0.034286,0,1
49,816.6667,0.002141,102.350466,0.031429,0,1
50,833.3333,0.001657,102.666295,0.028571,0,1
51,850.0,0.00124,102.942572,0.025714,0,1
52,866.6667,0.000889,103.181789,0.022857,0.111111,1
53,883.3333,0.000602,103.38623,0.02,0.222222,1
54,900.0,0.000371,103.557992,0.017143,0.333333,1
55,916.6667,0.000192,103.698995,0.014286,0.444444,1
56,933.3333,5.7e-05,103.811009,0.011429,0.555556,1
57,950.0,0.0,103.895667,0.008571,0.666667,1
58,966.6667,0.0,103.954474,0.005714,0.777778,1
59,983.3333,0.0,103.988821,0.002857,0.888889,1
60,1000.0,0.0,104.0,0.0,1,1
61,1016.6667,0.0,104.0,0.0,1,1
62,1033.3333,0.0,104.0,0.0,1,1
63,1050.0,0.0,104.0,0.0,1,1
64,1066.6667,0.0,104.0,0.0,1,1
65,1083.3333,0.0,104.0,0.0,1,1
66,1100.0,0.0,104.0,0.0,1,1
67,1116.6667,0.0,104.0,0.0,1,1
68,1133.3333,0.0,104.0,0.0,1,1
69,1150.0,0.0,104.0,0.0,1,1
70,1166.6667,0.0,104.0,0.0,1,1
71,1183.3333,0.0,104.0,0.0,1,1
72,1200.0,0.0,104.0,0.0,1,1
73,1216.6667,0.0,104.0,0.0,1,1
74,1233.3333,0.0,104.0,0.0,1,1
75,1250.0,0.0,104.0,0.0,1,1
76,1266.6667,0.0,104.0,0.0,1,1
77,1283.3333,0.0,104.0,0.0,1,1
78,1300.0,2e-06,104.0,0.0,1,1
79,1316.6667,4e-06,104.0,0.0,1,1
80,1333.3333,5e-06,104.0,0.0,1,1
81,1350.0,5e-06,104.0,0.0,1,1
82,1366.6667,5e-06,104.0,0.0,1,1
83,1383.3333,5e-06,104.0,0.0,1,1
84,1400.0,5e-06,104.0,0.0,1,1
85,1416.6667,4e-06,104.0,0.0,1,1
86,1433.3333,4e-06,104.0,0.0,1,1
87,1450.0,3e-06,104.0,0.0,1,1
88,1466.6667,3e-06,104.0,0.0,1,1
89,1483.3333,2e-06,104.0,0.0,1,1
90,1500.0,2e-06,104.0,0.0,1,1
91,1516.6667,1e-06,104.0,0.0,1,1
92,1533.3333,1e-06,104.0,0.0,1,1
93,1550.0,1e-06,104.0,0.0,1,1
94,1566.6667,1e-06,104.0,0.0,1,1
95,1583.3333,0.0,104.0,0.0,1,1
96,1600,0.0,104.0,0.0,1,1
97,1616.6667,0.0,104.0,0.0,1,1
