frame60,ms,outgoingY,outgoingAlpha,incomingX,incomingAlpha,reducedOutgoingAlpha,reducedIncomingAlpha
0,0.0,24.0,0,-12.0,0,0,0
1,16.6667,23.101683,0.111111,-12.0,0,0.111111,0
2,33.3333,20.99025,0.222222,-12.0,0,0.222222,0
3,50.0,18.315922,0.333333,-12.0,0,0.333333,0
4,66.6667,15.496831,0.444444,-12.0,0,0.444444,0
5,83.3333,12.786943,0.555556,-12.0,0,0.555556,0
6,100.0,10.326965,0.666667,-12.0,0,0.666667,0
7,116.6667,8.181842,0.777778,-12.0,0,0.777778,0
8,133.3333,6.367845,0.888889,-12.0,0,0.888889,0
9,150.0,4.871719,1,-12.0,0,1,0
10,166.6667,3.663888,1,-12.0,0,1,0
11,183.3333,2.707287,1,-12.0,0,1,0
12,200.0,1.963023,1,-12.0,0,1,0
13,216.6667,1.393811,1,-12.0,0,1,0
14,233.3333,0.965864,1,-12.0,0,1,0
15,250.0,0.649761,1,-12.0,0,1,0
16,266.6667,0.420645,1,-12.0,0,1,0
17,283.3333,0.258035,1,-12.0,0,1,0
18,300.0,0.14541,1,-12.0,0,1,0
19,316.6667,0.069693,1,-12.0,0,1,0
20,333.3333,0.020717,1,-12.0,0,1,0
21,350.0,-0.009288,1,-12.0,0,1,0
22,366.6667,-0.026161,1,-12.0,0,1,0
23,383.3333,-0.03421,1,-12.0,0,1,0
24,400.0,-0.036557,1,-12.0,0,1,0
25,416.6667,-0.035415,1,-12.0,0,1,0
26,433.3333,-0.032316,1,-12.0,0,1,0
27,450.0,-0.028286,1,-12.0,0,1,0
28,466.6667,-0.023992,1,-12.0,0,1,0
29,483.3333,-0.019837,1,-12.0,0,1,0
30,500.0,-0.01605,1,-12.0,0,1,0
31,516.6667,-0.012736,1,-12.0,0,1,0
32,533.3333,-0.009928,1,-12.0,0,1,0
33,550.0,-0.007607,1,-12.0,0,1,0
34,566.6667,-0.00573,1,-12.0,0,1,0
35,583.3333,-0.004241,1,-12.0,0,1,0
36,600.0,-0.00308,1,-12.0,0,1,0
37,616.6667,-0.002191,1,-12.0,0,1,0
38,633.3333,-0.001522,1,-12.0,0,1,0
39,650.0,-0.001027,1,-12.0,0,1,0
40,666.6667,-0.000667,1,-12.0,0,1,0
41,683.3333,-0.000412,1,-12.0,0,1,0
42,700.0,-0.000234,1,-12.0,0,1,0
43,716.6667,-0.000115,1,-12.0,0,1,0
44,733.3333,-3.7e-05,1,-12.0,0,1,0
45,750.0,1.1e-05,1,-12.0,0,1,0
46,766.6667,3.8e-05,1,-12.0,0,1,0
47,783.3333,5.1e-05,1,-12.0,0,1,0
